#,Array size,Array range,Sorting method,Consumedd time,Exceptions,
1,1,0 - 1,Insertion,4.74 * 10^-6,
,,,Bucket,7.293000000000001 * 10^-6,
,,,Quick,7.2940000000000005 * 10^-6,
1,1,1 - 5,Insertion,7.300000000000001 * 10^-7,
,,,Bucket,1.823 * 10^-6,
,,,Quick,7.290000000000001 * 10^-7,
2,2,0 - 2,Insertion,6.637 * 10^-5,
,,,Bucket,1.094 * 10^-6,
,,,Quick,1.094 * 10^-6,
2,2,2 - 10,Insertion,7.290000000000001 * 10^-7,
,,,Bucket,1.094 * 10^-6,
,,,Quick,1.094 * 10^-6,
3,10,0 - 10,Insertion,2.9537999999999998 * 10^-5,
,,,Bucket,6.199000000000001 * 10^-6,
,,,Quick,2.9170000000000003 * 10^-6,
3,10,10 - 50,Insertion,3.2091 * 10^-5,
,,,Bucket,4.0120000000000005 * 10^-6,
,,,Quick,3.6470000000000002 * 10^-6,
4,100,0 - 100,Insertion,1.231497 * 10^-3,
,,,Bucket,2.9173999999999998 * 10^-5,
,,,Quick,1.4950999999999999 * 10^-5,
4,100,100 - 500,Insertion,7.085579999999999 * 10^-4,
,,,Bucket,110,
,,,Quick,1.8598 * 10^-5,
5,1000,0 - 1000,Insertion,1.904755 * 10^-2,
,,,Bucket,3.06324 * 10^-4,
,,,Quick,4.13904 * 10^-4,
5,1000,1000 - 5000,Insertion,2.1465325 * 10^-2,
,,,Bucket,1003,
,,,Quick,9.627399999999998 * 10^-5,
6,10000,0 - 10000,Insertion,1.4111239599999998 * 10^-1,
,,,Bucket,4.0041 * 10^-4,
,,,Quick,2.5563499999999997 * 10^-4,
6,10000,10000 - 50000,Insertion,2.1097553299999996 * 10^-1,
,,,Bucket,,
,,,Quick,3.80353 * 10^-4,
7,20000,0 - 20000,Insertion,5.4127358 * 10^-1,
,,,Bucket,5.17469 * 10^-4,
,,,Quick,4.8209599999999995 * 10^-4,
7,20000,20000 - 100000,Insertion,5.41955517 * 10^-1,
,,,Bucket,,
,,,Quick,6.72455 * 10^-4,
8,100000,0 - 100000,Insertion,1.7842887618999999 * 10^1,
,,,Bucket,2.7937529999999997 * 10^-3,
,,,Quick,3.3699329999999996 * 10^-3,
8,100000,100000 - 500000,Insertion,N/A,
,,,Bucket,100034,
,,,Quick,1.114766 * 10^-2,
9,200000,0 - 200000,Insertion,N/A,
,,,Bucket,6.789464 * 10^-3,
,,,Quick,1.9313031 * 10^-2,
9,200000,200000 - 1000000,Insertion,N/A,
,,,Bucket,200002,
,,,Quick,1.9757566 * 10^-2,
10,1000000,0 - 1000000,Insertion,N/A,
,,,Bucket,8.282832299999999 * 10^-2,
,,,Quick,1.04150697 * 10^-1,
10,1000000,1000000 - 5000000,Insertion,N/A,
,,,Bucket,,
,,,Quick,1.22196857 * 10^-1,
11,2000000,0 - 2000000,Insertion,N/A,
,,,Bucket,1.80837943 * 10^-1,
,,,Quick,2.18442195 * 10^-1,
11,2000000,2000000 - 10000000,Insertion,N/A,
,,,Bucket,,
,,,Quick,2.17168759 * 10^-1,
12,10000000,0 - 10000000,Insertion,N/A,
,,,Bucket,1.417342343 * 10^0,
,,,Quick,1.186808718 * 10^0,
12,10000000,10000000 - 50000000,Insertion,N/A,
,,,Bucket,,
,,,Quick,1.209791808 * 10^0,
